Poshmark Sales Report for @tomfiji,"","",Tom,Fijalkowski
12/31/2025 - 04/06/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
02/28/2026,03/01/2026,"",69a492a46a44a2f49e8ccfb1,NEW G/Fore Bob O Link Golf Club Men's One Size Snapback Performance NWT,Men,Accessories,Hats,G/FORE,White,OS,N,Y,N,"",$33.00,$50.00,$0.00,$0.00,$0.00,$26.40,IL,60448,dylangordon820,$2.97,$0.00,"",
02/28/2026,02/28/2026,"",69a3a9f4eba34990b7806d68,Robert Graham Shirt Men's XXL 2XL Diamante Jacquard All Over Print Button Down,Men,Shirts,Casual Button Down Shirts,Robert Graham,Blue,XXL,N,Y,N,"",$21.00,$35.00,$0.00,$0.00,$0.00,$16.80,ND,58103,troid373,$2.13,$0.00,"",
03/02/2026,03/05/2026,"",69a9e6632beccfa073974491,Greyson Polo Shirt Men's Medium Purple Microstripe Golf Stretch Performance,Men,Shirts,Polos,Greyson,Purple,M,N,Y,N,"",$30.00,$35.00,$0.00,$0.00,$0.00,$24.00,IN,46220,jonbannister,$2.10,$0.00,"",
03/03/2026,03/04/2026,"",69a82ebf68ca0e5cf32992c7,RLX Ralph Lauren Polo Shirt Mens X-Large Blue White Stripe Winged Foot Golf Club,Men,Shirts,Polos,RLX Ralph Lauren,Blue,XL,N,Y,N,"",$30.00,$40.00,$0.00,$0.00,$0.00,$24.00,LA,71270,ross_alford,$3.30,$0.00,"",
03/02/2026,03/03/2026,"",69a75f09a84d7e17537c6630,Lululemon ABC Chino Pants Mens 32x31 Black Classic Stretch Performance,Men,Pants,Chinos & Khakis,lululemon athletica,Black,32,N,Y,N,"",$28.00,$35.00,$0.00,$0.00,$0.00,$22.40,CA,92677,teeeeter0,$2.17,$0.00,"",
03/02/2026,03/04/2026,"",69a8d227520b7039dc1d0a8a,NEW Ralph Lauren Knit Oxford Polo Shirt Men's Size XL Flesh Pony Logo NWT,Men,Shirts,Polos,Ralph Lauren,White,XL,N,Y,Y,"",$35.00,$50.00,$0.00,$0.00,$0.00,$28.00,FL,32561,shellialtemeyer,$3.12,$0.00,"",
03/02/2026,03/04/2026,"",69a877f53a8f1d54f308257c,Draddy Sport Winged Foot Golf Club Centennial Logo Polo Shirt Men's Size Large,Men,Shirts,Polos,Draddy Sport,White,L,N,Y,N,"",$15.00,$20.00,$0.00,$0.00,$0.00,$12.00,VA,23455,devinguy8,$0.91,$0.00,"",
03/02/2026,03/03/2026,"",69a7303c8102a24620ab1869,Suitsupply Tessilmaglia Egyption Cotton Button Shirt Mens 40 15.5 Extra Slim Fit,Men,Shirts,Casual Button Down Shirts,Suitsupply,"",15.5,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,CA,92833,ucalif,$1.55,$0.00,"",
03/02/2026,03/03/2026,"",69a784dc0d155f65efeee7b1,Peter Millar Polo Shirt Mens Large White Blue Striped Stretch President Cup Golf,Men,Shirts,Polos,Peter Millar,Blue,L,N,Y,N,"",$30.00,$35.00,$0.00,$0.00,$0.00,$24.00,AR,72762,crycraw22,$3.84,$0.00,"",
02/28/2026,03/09/2026,"",69aecccf21a0ac452276deac,Ermenegildo Zegna Neck Tie Mens Multicolor Exclusive Design Geometric Lot Of 2,Men,Accessories,Ties,Ermenegildo Zegna,"",OS,N,Y,N,"",$21.00,$25.00,$0.00,$0.00,$0.00,$16.80,AZ,85747,nickspicks4men,$1.29,$0.00,"",
02/28/2026,03/07/2026,"",69aca7de38b058f06aed0087,Drew Skate House Hoodie Men's Medium Sweatshirt Pullover Justin Bieber Off White,Men,Shirts,Sweatshirts & Hoodies,drew house,Cream,M,N,Y,N,"",$19.00,$25.00,$0.00,$0.00,$0.00,$15.20,PA,16546,owenmorgan641,$0.00,$0.00,This sale is exempt from sales tax.,
03/03/2026,03/06/2026,"",69910190aeae84da1bd16f28,Holderness & Bourne Old York Road Country Club 1/4 Zip Pullover Men's Medium,Men,Shirts,Sweatshirts & Hoodies,Holderness & Bourne,Blue,M,N,Y,N,"",$34.00,$40.00,$0.00,$0.00,$0.00,$27.20,PA,16546,owenmorgan641,$0.00,$0.00,This sale is exempt from sales tax.,
02/28/2026,03/08/2026,"",69ade6133ff7ee6b52ab6d39,Vineyard Vines Polo Shirt Mens 2XL XXL Blue Striped Whale Logo Golf Performance,Men,Shirts,Polos,Vineyard Vines,Blue,XXL,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,FL,33572,stephaniecorry,$2.37,$0.00,"",
03/02/2026,03/07/2026,"",69ace02e68ca0e6a44f708b1,Vineyard Vine Polo Shirt Mens Large Pink White Performance Stripe Whale Logo,Men,Shirts,Polos,Vineyard Vines,Pink,L,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,NY,14202,cchase402,$1.50,$0.00,"",
03/03/2026,03/09/2026,"",69aefc24d9dfbcbdb613d96a,Suitsupply Shirt Egyptian Cotton Men's Size 41 16 Cotonificio Albini Long Sleeve,Men,Shirts,Casual Button Down Shirts,Suitsupply,Blue,16,N,N,N,"",$30.00,$30.00,$0.00,$0.00,$0.00,$24.00,NY,11222,rmnnyc,$0.00,$0.00,This sale is exempt from sales tax.,
03/06/2026,03/09/2026,"",69af800d3b06e508c1bc0c37,State & Liberty Dress Shirt Men's Large Pink Check Stretch Athletic Fit,Men,Shirts,Dress Shirts,State & Liberty Clothing Co.,Pink,L,N,Y,N,"",$35.00,$40.00,$0.00,$0.00,$0.00,$28.00,CT,06525,waitingforyou,$2.63,$0.00,"",
03/03/2026,03/09/2026,"",69af25833ac693ee2c120773,Polo Ralph Lauren Performance Ocean Course Kiawah Shirt Men's XS Boy's XL,Men,Shirts,Polos,Polo Ralph Lauren,Green,XS,N,Y,N,"",$23.00,$30.00,$0.00,$0.00,$0.00,$18.40,NJ,07470,lunaandi,$0.00,$0.00,This sale is exempt from sales tax.,
03/03/2026,03/08/2026,"",69ad939f25ba83e07278036c,Rhoback Herringbone Jacquard Performance 1/4 Zip Pullover Men's 3XL XXXL Golf,Men,Sweaters,Zip Up,Rhoback,Gray,3XL,N,Y,N,"",$50.00,$60.00,$0.00,$0.00,$0.00,$40.00,FL,34761,zoli7,$3.67,$0.00,"",
03/10/2026,03/10/2026,"",69b0a06a59f4d65bb7d092b0,Hoka One One Joggers Unisex Small Navy Athletic Athleisure Workout Activewear,Men,Pants,Sweatpants & Joggers,Hoka,Blue,S,N,Y,N,"",$25.00,$35.00,$0.00,$0.00,$0.00,$20.00,VA,22903,gkbv1,$1.33,$0.00,"",
02/28/2026,03/08/2026,"",69ad65793d181252dc5e3949,Birddogs Unlined Light Beige Chino Trouser Pants Men's Size 30x27,Men,Pants,Chinos & Khakis,Bird dogs,Tan,30,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,TX,78722,artygiv,$2.18,$0.00,"",
03/02/2026,03/11/2026,"",69b22ea629c5eaddaceca350,The Andover Shop Button Down Shirt Men's 34 15.5 Cotton Made in USA Lot of 2,Men,Shirts,Casual Button Down Shirts,Andover Mills,"",15.5,N,Y,N,"",$45.00,$50.00,$0.00,$0.00,$0.00,$36.00,NY,11790,charlotteswanso,$2.44,$0.00,"",
02/28/2026,03/13/2026,"",69b48e5e020f93d4af39d4df,William Murray World Series Chicago Cubs Wrigley Field Polo Shirt Men's Size XL,Men,Shirts,Polos,William Murray Golf,White,XL,N,N,N,"",$40.00,$40.00,$0.00,$0.00,$0.00,$32.00,NC,27263,koote20,$3.26,$0.00,"",
03/03/2026,03/15/2026,"",69b6f821520b703672f2634a,Peter Millar Summer Comfort Polo Shirt Men's Medium Secession Golf Club Striped,Men,Shirts,Polos,Peter Millar,Purple,M,N,Y,N,"",$25.00,$35.00,$0.00,$0.00,$0.00,$20.00,SC,29212,caydenfarrell,$2.20,$0.00,"",
03/16/2026,03/16/2026,"",69b89988bc6e1ceea4eaca00,Renwick Golf Sweater Green Cotton Crew Neck Knit Womens Small,Women,Sweaters,Crew & Scoop Necks,Renwick,Green,S,N,N,N,"",$60.00,$60.00,$0.00,$0.00,$0.00,$48.00,PA,15216,bridget_kaufman,$0.00,$0.00,This sale is exempt from sales tax.,
03/02/2026,03/13/2026,"",69b47fa360fc18ed53bb9acb,Johnnie-o Prep-formance Calcutta Short Men's Size 36 Golf Chino Stretch Gray,Men,Shorts,Flat Front,johnnie-O,Gray,36,N,Y,N,"",$17.00,$25.00,$0.00,$0.00,$0.00,$13.60,NC,28374,eddieivey,$1.65,$0.00,"",
03/10/2026,03/16/2026,"",69b856a1ac2ce2a65524809a,Footjoy FJ PGA of America Rules Committee Sweater Men's Medium Drirelease,Men,Sweaters,Crewneck,FootJoy,"",M,N,Y,N,"",$24.00,$40.00,$0.00,$0.00,$0.00,$19.20,TX,75056,snappydays,$2.52,$0.00,"",
03/02/2026,03/13/2026,"",69b4c801421196b4d6dace46,Greyson Polo Shirt Mens Large Navy Blue Monster Trump National Logo Golf Striped,Men,Shirts,Polos,Greyson,Blue,L,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,NY,11791,bl_f90,$1.45,$0.00,"",
03/03/2026,03/17/2026,"",69b9575457a99040f047a656,Fitigues Hooded Sweatshirt Womens Medium Black Full Zip Cashmere Long Sleeve,Women,Tops,Sweatshirts & Hoodies,Fitigues,Black,M,N,Y,N,"",$40.00,$100.00,$0.00,$0.00,$0.00,$32.00,PA,19124,jijunchung,$0.00,$0.00,This sale is exempt from sales tax.,
03/02/2026,03/15/2026,"",69b692b6d9dfbc50b4cb331e,Rag & Bone New York Long Sleeve Henley Shirt Men's Size XL Red Cotton,Men,Shirts,Tees - Long Sleeve,rag & bone,Red,XL,N,N,N,"",$25.00,$25.00,$0.00,$0.00,$0.00,$20.00,NY,11106,zacktutlane,$0.00,$0.00,This sale is exempt from sales tax.,
02/28/2026,03/18/2026,"",69bb136dd4b943e238a0a419,Holderness & Bourne Hartford Golf Club AOP Polo Shirt Men's Size Medium,Men,Shirts,Polos,Holderness Bourne,Purple,M,N,Y,N,"",$25.00,$35.00,$0.00,$0.00,$0.00,$20.00,MA,02127,alexsmyrnios,$0.00,$0.00,This sale is exempt from sales tax.,
03/16/2026,03/17/2026,"",69b9575a7aef4823cd39b166,Vineyard Vines Pants Mens 35x32 Green Slim Breaker Chino Shamrock St Patricks,Men,Pants,Chinos & Khakis,Vineyard Vines,Green,35,N,Y,N,"",$15.00,$20.00,$0.00,$0.00,$0.00,$12.00,GA,31328,fpierce87,$1.50,$0.00,"",
03/02/2026,03/18/2026,"",69ba8f64aeae84ac48dd2b3c,Marine Layer Saturday Slim Straight Twill Pant Navy Corduroy Mens Size Medium,Men,Pants,Corduroy,Marine Layer,Blue,M,N,Y,N,"",$25.00,$40.00,$0.00,$0.00,$0.00,$20.00,CT,06117,goosephart,$2.00,$0.00,"",
03/03/2026,03/19/2026,"",69bb707ea52d5dcfbac26de4,Vineyard Vines Performance Polo Golf Shirt Men's XL Lot of 2 Blue Striped Whale,Men,Shirts,Polos,Vineyard Vines,Blue,XL,N,Y,N,"",$40.00,$60.00,$0.00,$0.00,$0.00,$32.00,CT,06611,aissaferris,$2.95,$0.00,"",
02/28/2026,03/14/2026,"",69b5f1a6c08c2110c328b44f,Vuori Meta Pants Mens 32x29 Olive Straight Leg Flat Front Athletic Stretch,Men,Pants,Sweatpants & Joggers,Vuori,Green,32,N,Y,N,"",$40.00,$45.00,$0.00,$0.00,$0.00,$32.00,IL,60614,srs15237,$4.76,$0.00,"",
02/28/2026,03/19/2026,"",69bbfa4518fbdcc81b528b0f,Vineyard Vines Sankaty 1/4 Zip Pullover Sweater Mens Medium Gray Performance,Men,Sweaters,V-Neck,Vineyard Vines,Gray,M,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,NY,13045,cwilliwc,$1.06,$0.00,"",
02/28/2026,03/18/2026,"",69bb13a4d4b943d942a0c591,Free Fly Bamboo Henley Shirt Mens Medium Heathered Pink Long Sleeve Outdoor,Men,Shirts,Tees - Long Sleeve,Free Fly Apparel,Pink,M,N,Y,N,"",$15.00,$25.00,$0.00,$0.00,$0.00,$12.00,TN,37404,clintdean423,$1.99,$0.00,"",
03/03/2026,03/21/2026,"",69bedecfa84d7e424b9d7f82,Johnnie-O West Coast Prep Casual Chino Khaki Stretch Pants Men's Size 35x31,Men,Pants,Chinos & Khakis,johnnie-O,Tan,35,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,TX,77058,trublustyles,$2.12,$0.00,"",
03/03/2026,03/15/2026,"",69b7020668ca0e7658629ecd,Rhone Commuter 1/4 Zip Pullover Men's Size Small Stretch Sweater Brown,Men,Sweaters,Zip Up,RHONE,Brown,S,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,TX,75025,michael_larose,$2.59,$0.00,"",
03/02/2026,03/21/2026,"",69be6f56dfd19cee2ce907c4,RLX Ralph Lauren 1/4 Zip Pullover Men's Large Herringbone Stretch Hualalai Golf,Men,Shirts,Sweatshirts & Hoodies,RLX Ralph Lauren,Green,L,N,Y,N,"",$33.00,$45.00,$0.00,$0.00,$0.00,$26.40,VA,20155,omarafzali,$1.98,$0.00,"",
02/28/2026,03/22/2026,"",69c042dc5c1377b5fcbbb31a,Fairway & Greene F&G Tech Polo Shirt Mens Medium Blue Sleepy Hollow Country Club,Men,Shirts,Polos,Fairway & Greene,Blue,M,N,Y,N,"",$30.00,$40.00,$0.00,$0.00,$0.00,$24.00,PA,19446,dannycarr315,$0.00,$0.00,This sale is exempt from sales tax.,
03/02/2026,03/24/2026,"",69c33acdcb94ed972b86298a,Buttercloth Button Up Shirt Mens XL Black Striped Stretch Regular Fit Outdoor,Men,Shirts,Casual Button Down Shirts,Buttercloth,Black,XL,N,Y,N,"",$20.00,$25.00,$0.00,$0.00,$0.00,$16.00,ME,04038,cboosh3,$1.10,$0.00,"",
02/28/2026,03/23/2026,"",69c19576dff1f1f596acc30d,Quince Mongolian Cashmere Full Zip Sweater Men's Large Soft Fisherman Style,Men,Sweaters,Zip Up,Quince,Brown,L,N,N,N,"",$50.00,$50.00,$0.00,$0.00,$0.00,$40.00,MA,01772,kafkamichael,$0.00,$0.00,This sale is exempt from sales tax.,
03/02/2026,03/23/2026,"",69c200ee5c1377d879ae3bb8,Acne Studios Pants Mens Size 34 ROC Ups Beige Button Fly 5 Pocket Design,Men,Jeans,Bootcut,Acne Studios,Tan,34,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,NY,11206,jenny_c_miller,$0.00,$0.00,This sale is exempt from sales tax.,
03/21/2026,03/22/2026,"",69c04c2c49438a86401e9b76,NEW Brooks Brothers Polo Sweater Mens XL 100% Extra Fine Italian Merino Wool,Men,Sweaters,"",Brooks Brothers,Green,XL,N,Y,Y,"",$51.00,$60.00,$0.00,$0.00,$0.00,$40.80,IL,60626,bobbyz938,$5.89,$0.00,"",
03/02/2026,03/23/2026,"",69c1a05e9e4f74bbfceb6bd8,Footjoy Activewear Top Mens XL Navy Blue 1/4 Zip Performance Sleeveless Pullover,Men,Jackets & Coats,Performance Jackets,FootJoy,Blue,XL,N,N,N,"",$30.00,$30.00,$0.00,$0.00,$0.00,$24.00,MA,02537,jraye21,$0.00,$0.00,This sale is exempt from sales tax.,
03/16/2026,03/24/2026,"",69c2778257a99017c59eaa06,NEW Banana Republic Wool Sweater Mens Medium 100% Extra Fine Merino Crewneck NWT,Men,Sweaters,Crewneck,Banana Republic,Brown,M,N,Y,Y,"",$30.00,$40.00,$0.00,$0.00,$0.00,$24.00,FL,33135,db512tr,$2.55,$0.00,"",
03/25/2026,03/25/2026,"",69c3f406348a85f507aff4c4,Peter Millar Summer Comfort PGA Tour Issued Polo Shirt Men's Medium Solid White,Men,Shirts,Polos,Peter Millar,White,M,N,N,N,"",$100.00,$100.00,$0.00,$0.00,$0.00,$80.00,GA,30075,lruth089,$8.25,$0.00,"",
03/10/2026,03/26/2026,"",69c5245fcb08cffa7e0b2d23,Rag & Bone Avery Convertible Collar Floral All Over Print Camp Shirt Men's Large,Men,Shirts,Casual Button Down Shirts,rag & bone,Cream,L,N,Y,N,"",$35.00,$50.00,$0.00,$0.00,$0.00,$28.00,NC,27608,christiandysart,$3.01,$0.00,"",
03/25/2026,03/26/2026,"",69c59a3829c5eadfab25a9a8,Kuiu Kutana Pants Men's Size 35x34 Stretch Woven Hiking Hunting Bottoms,Men,Pants,Cargo,KUIU,Green,35,N,Y,N,"",$65.00,$80.00,$0.00,$0.00,$0.00,$52.00,WV,26505,chaseelsis,$5.00,$0.00,"",
03/02/2026,03/24/2026,"",69c33a60f8ede7f431186744,Lululemon ABC Pants Mens Large Straight Leg Flat Front Elastic Waist Pull On,Men,Pants,Sweatpants & Joggers,lululemon athletica,Green,L,N,N,N,"",$50.00,$50.00,$0.00,$0.00,$0.00,$40.00,CA,91932,mbutler67543,$4.38,$0.00,"",
03/21/2026,03/28/2026,"",69c828d21fea02c77bece607,Vineyard Vines Performance Polo Golf Shirt Men's Medium Blue Striped Whale Logo,Men,Shirts,Polos,Vineyard Vines,Blue,M,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,IL,60555,jnellie2614,$2.60,$0.00,"",
03/25/2026,03/25/2026,"",69c4af56a56f0036407d4afa,Vuori Tradewind Performance Tee Men's Size XL Green Pocket Shirt Stretch,Men,Shirts,Tees - Short Sleeve,Vuori,Green,XL,N,N,N,"",$28.00,$28.00,$0.00,$0.00,$0.00,$22.40,AL,35406,bryan_w11,$2.24,$0.00,"",
03/06/2026,03/28/2026,"",69c88a8b8e2921d57a65a9e2,NEW The Breakers Palm Beach by Ahead Golf Hat Dad Cap Black Cotton NWT,Men,Accessories,Hats,AHEAD,Black,OS,N,Y,Y,"",$25.00,$35.00,$0.00,$0.00,$0.00,$20.00,MA,02026,smileywendy,$0.00,$0.00,This sale is exempt from sales tax.,
03/03/2026,03/07/2026,"",69aca4fc102e42e6b4bd3d62,Sulka Dress Shirts Mens Size 17/36 Blue White Striped French Cuff Long Sleeve,Men,Shirts,Dress Shirts,Sulka,Blue,17,N,Y,N,"",$25.00,$30.00,$0.00,$0.00,$0.00,$20.00,AR,72202,mbrucewoodward,$2.71,$0.00,"",
""
Totals,"","","","","","","","","","","","","","","$2,095.00","$2,678.00",$0.00,"","","$1,676.00"
